id,name,product_name-label,product links,brand,category,price_vnd,price_label,package_size,image_url,short_description,key_benefits,active_ingredients,usage,origin,warning,tags
855643,advil-liqui-gels-ibuprofen-200mg,"Advil 200mg Liqui-Gels, 2 x 120 Count",https://app.warehouserunner.com/costco/855643-advil-200mg-liquigel-2x120-count,Advil,Giảm đau & hạ sốt,860000,860.000 VNĐ,240 viên nang mềm (2 chai x 120 viên),product-images/ADVIL%20GI%E1%BA%A2M%20%C4%90AU%20H%E1%BA%A0%20S%C3%94T.png,"Viên nang mềm hấp thu nhanh, hỗ trợ giảm đau và hạ sốt.",Giảm đau nhanh | Hạ sốt hiệu quả | Hỗ trợ đau cơ và đau khớp | Dạng viên nang mềm dễ nuốt,Ibuprofen 200 mg,Người lớn và trẻ từ 12 tuổi trở lên: uống 1-2 viên mỗi 4-6 giờ khi cần. Không dùng quá 6 viên trong 24 giờ trừ khi có chỉ định của bác sĩ.,Mỹ,Không dùng cho trẻ dưới 12 tuổi nếu không có chỉ định của bác sĩ. Đọc kỹ hướng dẫn trước khi dùng.,giảm đau hạ sốt ibuprofen nsaid đau đầu đau cơ đau khớp
1241036,natures-truth-apple-cider-vinegar-1200mg,"Nature's Truth Apple Cider Vinegar 1200mg, 180 Capsules",https://app.warehouserunner.com/costco/1241036-nature-s-truth-apple-cider-vinegar-1200mg-180-capsules,Nature's Truth,Tiêu hóa,810000,810.000 VNĐ,180 viên nang chay,product-images/apple%20cider.png,"Giấm táo hữu cơ hàm lượng cao, hỗ trợ tiêu hóa và sức khỏe tổng thể hằng ngày.",Hỗ trợ tiêu hóa | Hỗ trợ quản lý cân nặng | Hỗ trợ chuyển hóa | Nâng cao sức khỏe tổng thể,Giấm táo hữu cơ 1200 mg mỗi liều,"Người lớn: uống 1 viên, 1-3 lần mỗi ngày, tốt nhất trước bữa ăn.",Mỹ,"Không dùng cho người dưới 18 tuổi. Tham khảo ý kiến bác sĩ nếu đang mang thai, cho con bú, dùng thuốc hoặc có bệnh lý.",giấm táo tiêu hóa chuyển hóa cân nặng sức khỏe
1408247,trunature-ginkgo-biloba-120mg,"TruNature Ginkgo Biloba 120mg, 340 Softgels",https://app.warehouserunner.com/costco/1408247-trunature-ginkgo-biloba-120mg-340-softgels,Trunature,Não bộ & trí nhớ,580000,580.000 VNĐ,340 viên nang mềm,product-images/B%E1%BB%95%20n%C3%A3o%20ginkgo.png,Sản phẩm hỗ trợ não bộ với chiết xuất bạch quả và vinpocetine.,Hỗ trợ trí nhớ và tập trung | Hỗ trợ tuần hoàn máu não | Hỗ trợ tỉnh táo tinh thần | Hỗ trợ sức khỏe nhận thức,Ginkgo biloba 120 mg | Vinpocetine,"Uống 1 viên nang mềm mỗi ngày, ưu tiên sau bữa ăn.",Mỹ,"Tham khảo ý kiến bác sĩ trước khi dùng nếu đang mang thai, cho con bú, dùng thuốc chống đông máu hoặc thuốc điều trị.",não bộ trí nhớ tập trung ginkgo bạch quả tuần hoàn
1051972,kirkland-calcium-500mg-d3-zinc-gummies,Kirkland Signature Calcium Gummy 2x120,https://app.warehouserunner.com/costco/1051972-kirkland-signature-calcium-gummy-2x120,Kirkland Signature,Xương khớp,750000,750.000 VNĐ,240 viên kẹo dẻo (2 lọ x 120 viên),product-images/CANXI%20K%E1%BA%B8O%2C%20K%E1%BA%BCM.png,"Kẹo dẻo bổ sung canxi cho người lớn, hỗ trợ xương, răng và miễn dịch.",Hỗ trợ xương và răng | Hỗ trợ hệ miễn dịch | Hỗ trợ giảm nguy cơ loãng xương | Chất lượng chuẩn USP,"Canxi 500 mg | Vitamin D3 25 mcg | Kẽm 7,5 mg trong 2 viên","Người lớn: nhai 2 viên kẹo dẻo mỗi ngày, tốt nhất cùng bữa ăn.",Mỹ,Sản phẩm này không phải là thuốc và không có tác dụng thay thế thuốc chữa bệnh.,canxi vitamin d3 kẽm kẹo dẻo xương răng miễn dịch
588153,kirkland-calcium-citrate-magnesium-zinc-d3,Kirkland Signature Calcium Citrate 500 CT,https://app.warehouserunner.com/costco/588153-kirkland-signature-calcium-citrate-500-ct,Kirkland Signature,Xương khớp,540000,540.000 VNĐ,500 viên nén,product-images/calcium.png,"Công thức khoáng chất hỗ trợ xương, răng, cơ bắp, thần kinh và miễn dịch.",Hỗ trợ xương và răng | Hỗ trợ giảm nguy cơ loãng xương | Hỗ trợ chức năng cơ bắp | Hỗ trợ hệ miễn dịch,Canxi citrate | Magie | Kẽm | Vitamin D3,"Người lớn: uống 2 viên mỗi ngày, tốt nhất cùng bữa ăn.",Mỹ,"Tham khảo ý kiến bác sĩ nếu đang mang thai, cho con bú, dùng thuốc hoặc có bệnh lý.",canxi citrate magie kẽm vitamin d xương
1199824,nature-made-cholestoff-plus,Nature Made CholestOff Plus 210 Softgels,https://app.warehouserunner.com/costco/1199824-nature-made-cholest-off-plus-210-softgels,Nature Made,Tim mạch,990000,990.000 VNĐ,210 viên nang mềm,product-images/cholest%20off.png,Sterol và stanol thực vật hỗ trợ duy trì cholesterol khỏe mạnh.,Hỗ trợ giảm hấp thu cholesterol | Hỗ trợ sức khỏe tim mạch | Công thức từ thực vật | Chất lượng được kiểm nghiệm,Sterol thực vật | Stanol thực vật,Dùng đều đặn cùng bữa ăn theo hướng dẫn trên nhãn sản phẩm.,Mỹ,"Dùng kết hợp chế độ ăn uống lành mạnh. Tham khảo ý kiến bác sĩ nếu đang mang thai, cho con bú hoặc dùng thuốc.",cholesterol tim mạch sterol stanol thực vật
1985130,youtheory-verisol-collagen-biotin-345,Youtheory Verisol Collagen 345ct,https://app.warehouserunner.com/costco/1985130-youtheory-concentrated-effect-verisol-collagen-2500mg-345ct,Youtheory,Làm đẹp & da,680000,680.000 VNĐ,345 viên nén,product-images/collagen%20390.png,"Collagen peptide VERISOL thủy phân kết hợp biotin và chất chống oxy hóa, hỗ trợ làn da.",Hỗ trợ giảm nếp nhăn | Hỗ trợ độ đàn hồi da | Hỗ trợ độ ẩm cho da | Hỗ trợ chống oxy hóa,Collagen peptide VERISOL | Biotin | Chất chống oxy hóa,"Uống 6 viên mỗi ngày, có thể dùng cùng hoặc không cùng thức ăn. Nên dùng đều 8-12 tuần để đạt hiệu quả tốt nhất.",Mỹ,"Tham khảo ý kiến bác sĩ nếu đang dùng thuốc chống đông máu, mang thai, cho con bú hoặc chuẩn bị phẫu thuật.",collagen verisol biotin da đàn hồi dưỡng ẩm
1687275,qunol-ultra-coq10-100mg,Qunol Ultra CoQ10 100mg 180 Softgels,https://app.warehouserunner.com/costco/1687275-qunol-ultra-coq10-100mg-180-softgls,Qunol,Tim mạch,1150000,1.150.000 VNĐ,180 viên nang mềm,product-images/COQ10%20TIM%20M%E1%BA%A0CH.png,CoQ10 dạng viên nang mềm hỗ trợ tim mạch và năng lượng tế bào.,Hỗ trợ sức khỏe tim mạch | Hỗ trợ năng lượng tế bào | Hỗ trợ chống oxy hóa | Hỗ trợ lưu thông máu,Coenzyme Q10 100 mg,Uống 1 viên nang mềm mỗi ngày cùng bữa ăn hoặc theo hướng dẫn của chuyên gia y tế.,Mỹ,"Tham khảo ý kiến bác sĩ nếu đang mang thai, cho con bú, dùng thuốc hoặc có bệnh lý.",coq10 tim mạch năng lượng chống oxy hóa tuần hoàn
808620,citracal-maximum-plus-calcium-citrate-d3,Citracal Maximum Calcium Citrate + D 280 Capl,https://app.warehouserunner.com/costco/808620-citracal-maximum-calcium-citrate-d-280-caplets,Citracal,Xương khớp,720000,720.000 VNĐ,280 viên bao,product-images/c%C3%A3ni%20d%E1%BB%85%20h%E1%BA%A5p%20th%E1%BB%A5.png,"Canxi citrate kết hợp vitamin D3 và khoáng chất, hỗ trợ sức khỏe xương.",Hỗ trợ xương chắc khỏe | Hỗ trợ hấp thu canxi | Bổ sung khoáng chất vi lượng | Hỗ trợ sức khỏe tổng thể,Canxi citrate | Vitamin D3 | Kẽm | Đồng | Mangan,Uống 2 viên mỗi ngày hoặc theo hướng dẫn của chuyên gia y tế.,Mỹ,"Tham khảo ý kiến bác sĩ nếu đang mang thai, cho con bú, dùng thuốc hoặc có bệnh lý.",canxi citrate d3 xương khoáng chất citracal
1698212,nature-made-fish-oil-2400mg,"Nature Made Fish Oil 1200mg, 300 Count",https://app.warehouserunner.com/costco/1698212-nature-made-fish-oil-1200mg-300-count,Nature Made,Tim mạch,760000,760.000 VNĐ,300 viên nang mềm,product-images/d%E1%BA%A7u%20c%C3%A1%20fish%20oil.png,"Dầu cá tinh chế cung cấp omega-3, hỗ trợ tim mạch, não bộ và mắt.",Hỗ trợ tim mạch | Hỗ trợ não bộ | Hỗ trợ thị lực | Tinh chế loại bỏ thủy ngân,Dầu cá 2400 mg | Omega-3 720 mg trong 2 viên,Uống 2 viên nang mềm mỗi ngày trong hoặc sau bữa ăn.,Mỹ,"Tham khảo ý kiến bác sĩ nếu đang mang thai, cho con bú, dị ứng cá, dùng thuốc hoặc có bệnh lý.",dầu cá omega 3 tim mạch não mắt
